abzeichen;satz;station;aufgabe_id;aufgabe;Name;Frage 1;Frage 2 ;Frage 3;Frage 4;Frage 5;Frage 6;Frage 7;Frage 8;Frage 9;Frage 10;Frage 11;min_punkte
Gold;A;4;109;16;Dienststellung ;Ortsbeauftragte_r ;Zugführer_in ;Gruppenführer_in ;Ortsjugend/Verwaltung ;Ausbildungsbeauftr. ;Helfer_in ;;;;;;4
Gold;A;4;110;17;Holz-Werkzeuge ;Zugmesser ;Lochbeitel ;Schreinerklüpfel ;Halbrund-Raspel ;Stichling ;Schlangenbohrer ;Latthammer ;Fuchsschwanz ;Schlegel ;;;7
Gold;A;4;111;18;Gliedermaßstab;Zimmermannswinkel;Bandmaß;Stellwinkel(Schmiege);Wasserwage;;;;;;;;4
Gold;A;4;112;19;Bezeichnungen am Wasser;Jenseits;Diesseits;Unterstrom;Oberstrom;Wasserspiegel;;;;;;;4
Gold;A;4;113;20;Bestandteile PSA ;Stiefel*;Hose *;Jacke *;Handschuhe *;Helm *;Fleece-Jacke ;BaseCap ;Koppel ;;;;5
Gold;A;4;114;21;Herstellen einer Schocklage;Mit dem verletzten gesprochen/betreut;Den verletzten hingelegt, Beine hoch gelagert*;Decke untergelegt;Den verletzten zugedeckt;Vitalzeichen geprüft*;;;;;;;3
Gold;A;5;115;22;Einnorden der Karte ;Karte richtig eingeordnet*;;;;;;;;;;;1
Gold;A;5;116;23;Anmelden in einem Sprechfunkverkehrskreis;Betriebskanal nachgefragt und richtig eingestellt*;;;;;;;;;;;3
Gold;A;5;117;24;Absetzen einer Nachricht;Betriebskanal nachgefragt und richtig eingestellt*;Anruf richtig ausgeführt / Heros... von Heros... kommen*;Hier Heros ……….., Standortmeldung, Standort Bibergasse/Ecke Moorstraße, kommen (Antwort Gegenstelle: Verstanden, Ende)*;;;;;;;;;3
Gold;B;1;118;1;Verbinden von zwei Leinen mit dem Sackstich;Sackstich korrekt *;Überhang mind. 10x Leinendurchmesser;Parallele Führung ;;;;;;;;;2
Gold;B;1;119;2;Aufschießen einer Arbeitsleine;Freies Leinenende kürzer als normaler Schlag;Drallfrei ;Mit mindestens drei Schlägen quer umwickelt;Schläge eng und fest gewickelt;Überhang mind. 10x Leinendurchmesser;;;;;;;4
Gold;B;1;120;3;Schnürbund ;Mastwurf am Tragholz ;Überhang 10-15cm ;Eng & fest ;Schläge nach außen ;Abschluss Mastwurf ;;;;;;;4
Gold;B;1;121;4;Verbinden zweier Kettenenden mit einem Schäkel;Kettenstränge drallfrei ausgelegt*;Kettenenden mit Schäkel verbunden*;Schäkelbolzen vollständig eingedreht;Schäkelbolzen eine halbe umdrehung zurückgedreht*;Schäkelbolzen gegen herausdrehen gesichert*;Handschuhe getragen*;;;;;;5
Gold;B;1;122;5;Bennenen der Bestandteile der PSA;Stiefel*;Hose *;Jacke *;Arbeitsschutzhandschuhe*;Schutzhelm*;Fleece-Jacke ;BaseCap ;Koppel ;;;;5
Gold;B;1;123;6;Zuordnen von Löschmitteln;Holz - Wasser*;Metallspäne - Sand*;Kraftstoffe - ABC-Löschpulver;;;;;;;;;4
Gold;B;2;124;7;Aufzählung möglicher Leitersicherungen;Kopfpunktsicherung / Querriegel;Fußpunktsicherung / 2. Junghelfer;Eingraben;Pfähle / Spitzeisen;Querriegel;;;;;;;4
Gold;B;2;125;8;Besteigen einer Steckleiter;Anstellwinkel geprüft und ggf. korrigiert (65-75 grad) *;Stationshelfer_in zur Leistersicherung geholt*;An Sprossen festgehalten (nicht Holm)*;;;;;;;;;3
Gold;B;2;126;9;Tragen einer Steckleiter auf der Schulter;Steckleiterteil liegt auf Schulter auf*;Steckleiterteil an Sprosse gehalten*;Zweite Hand bleibt frei *;;;;;;;;;3
Gold;B;2;127;10;Einbindes zweier Bohlen auf ein Steckleiterteil;Schnürbund gewählt*;Stoßenden der Bohlen überlappen nicht*;Keine Lücken zwischen den zwei Bohlen;;;;;;;;;2
Gold;B;3;128;11;Zuordnen von Dienststellungskennzeichen;Ortsbeauftragte_r ;Zugführer_in ;Gruppenführer_in ;Ortsjugendbeauftragter /Verwaltungsbeauftragter / Koch;Ausbildungsbeauftragte/r;Helfer_in ;;;;;;4
Gold;B;3;129;12;Holz-Werkzeuge II ;Bügelsäge ;Fuchsschwanz ;Stichsäge ;Lochbeitel ;Handbeil ;Holzaxt ;Kistenbeitel ;Zugmesser ;;;;6
Gold;B;3;130;13;Zeigen von Mess und Anreißwerkzeugen;Gliedermaßstab;Zimmermannswinkel;Bandmaß;Stellwinkel (Schmiege);Wasserwage;;;;;;;4
Gold;B;3;131;14;Rechtwinkliges Ablängen eines Kantholzes mit dem Fuchsschwanz;Arbeitsschutzhandschuhe getragen *;Für den Anschnitt Führungsholz verwendet*;Sägeblattlänge voll ausgenutzt;Sägeschnitt gerade und rechtwinklig durchgeführt ;;;;;;;;3
